period,field,blank_count,denominator,blank_percent
Legacy,dateDecision,0,19861,0.0
Legacy,petitioner,2,19861,0.01007
Legacy,respondent,3,19861,0.015105
Legacy,issue,56,19861,0.28196
Legacy,issueArea,56,19861,0.28196
Legacy,caseOrigin,595,19861,2.995821
Legacy,lawType,76,19861,0.382659
Legacy,lawSupp,76,19861,0.382659
Legacy,lawMinor,178,19861,0.896229
Modern,dateDecision,0,9409,0.0
Modern,petitioner,4,9409,0.042512
Modern,respondent,6,9409,0.063769
Modern,issue,67,9409,0.712084
Modern,issueArea,67,9409,0.712084
Modern,caseOrigin,358,9409,3.804868
Modern,lawType,1270,9409,13.497715
Modern,lawSupp,1270,9409,13.497715
Modern,lawMinor,6606,9409,70.209374
