term,period,case_count
1791,Legacy,2
1792,Legacy,4
1793,Legacy,3
1794,Legacy,2
1795,Legacy,6
1796,Legacy,16
1797,Legacy,8
1798,Legacy,6
1799,Legacy,7
1800,Legacy,9
1801,Legacy,6
1803,Legacy,19
1804,Legacy,15
1805,Legacy,23
1806,Legacy,27
1807,Legacy,43
1808,Legacy,9
1809,Legacy,46
1810,Legacy,38
1812,Legacy,40
1813,Legacy,46
1814,Legacy,47
1815,Legacy,41
1816,Legacy,42
1817,Legacy,42
1818,Legacy,38
1819,Legacy,33
1820,Legacy,27
1821,Legacy,41
1822,Legacy,32
1823,Legacy,29
1824,Legacy,41
1825,Legacy,27
1826,Legacy,33
1827,Legacy,47
1828,Legacy,55
1829,Legacy,44
1830,Legacy,57
1831,Legacy,42
1832,Legacy,56
1833,Legacy,41
1834,Legacy,64
1835,Legacy,38
1836,Legacy,51
1837,Legacy,20
1838,Legacy,42
1839,Legacy,50
1840,Legacy,43
1841,Legacy,31
1842,Legacy,44
1843,Legacy,34
1844,Legacy,39
1845,Legacy,52
1846,Legacy,47
1847,Legacy,36
1848,Legacy,36
1849,Legacy,42
1850,Legacy,168
1851,Legacy,98
1852,Legacy,59
1853,Legacy,81
1854,Legacy,71
1855,Legacy,92
1856,Legacy,64
1857,Legacy,73
1858,Legacy,69
1859,Legacy,115
1860,Legacy,68
1861,Legacy,71
1862,Legacy,42
1863,Legacy,83
1864,Legacy,59
1865,Legacy,84
1866,Legacy,134
1867,Legacy,116
1868,Legacy,108
1869,Legacy,205
1870,Legacy,135
1871,Legacy,198
1872,Legacy,198
1873,Legacy,213
1874,Legacy,199
1875,Legacy,211
1876,Legacy,242
1877,Legacy,267
1878,Legacy,225
1879,Legacy,247
1880,Legacy,237
1881,Legacy,248
1882,Legacy,262
1883,Legacy,283
1884,Legacy,272
1885,Legacy,279
1886,Legacy,306
1887,Legacy,291
1888,Legacy,252
1889,Legacy,286
1890,Legacy,312
1891,Legacy,266
1892,Legacy,257
1893,Legacy,294
1894,Legacy,252
1895,Legacy,272
1896,Legacy,234
1897,Legacy,190
1898,Legacy,183
1899,Legacy,217
1900,Legacy,200
1901,Legacy,182
1902,Legacy,216
1903,Legacy,214
1904,Legacy,198
1905,Legacy,174
1906,Legacy,210
1907,Legacy,177
1908,Legacy,184
1909,Legacy,176
1910,Legacy,172
1911,Legacy,243
1912,Legacy,289
1913,Legacy,295
1914,Legacy,274
1915,Legacy,244
1916,Legacy,218
1917,Legacy,217
1918,Legacy,232
1919,Legacy,181
1920,Legacy,224
1921,Legacy,179
1922,Legacy,229
1923,Legacy,215
1924,Legacy,237
1925,Legacy,212
1926,Legacy,201
1927,Legacy,177
1928,Legacy,129
1929,Legacy,138
1930,Legacy,168
1931,Legacy,151
1932,Legacy,169
1933,Legacy,170
1934,Legacy,171
1935,Legacy,160
1936,Legacy,163
1937,Legacy,170
1938,Legacy,151
1939,Legacy,145
1940,Legacy,178
1941,Legacy,166
1942,Legacy,172
1943,Legacy,140
1944,Legacy,164
1945,Legacy,139
1946,Modern,142
1947,Modern,118
1948,Modern,127
1949,Modern,100
1950,Modern,103
1951,Modern,100
1952,Modern,122
1953,Modern,87
1954,Modern,98
1955,Modern,106
1956,Modern,127
1957,Modern,155
1958,Modern,139
1959,Modern,136
1960,Modern,139
1961,Modern,118
1962,Modern,158
1963,Modern,183
1964,Modern,134
1965,Modern,141
1966,Modern,147
1967,Modern,197
1968,Modern,140
1969,Modern,141
1970,Modern,144
1971,Modern,179
1972,Modern,186
1973,Modern,173
1974,Modern,154
1975,Modern,182
1976,Modern,179
1977,Modern,155
1978,Modern,160
1979,Modern,157
1980,Modern,153
1981,Modern,177
1982,Modern,166
1983,Modern,173
1984,Modern,165
1985,Modern,165
1986,Modern,161
1987,Modern,153
1988,Modern,152
1989,Modern,140
1990,Modern,129
1991,Modern,120
1992,Modern,120
1993,Modern,96
1994,Modern,92
1995,Modern,91
1996,Modern,96
1997,Modern,102
1998,Modern,92
1999,Modern,85
2000,Modern,87
2001,Modern,85
2002,Modern,84
2003,Modern,79
2004,Modern,80
2005,Modern,87
2006,Modern,75
2007,Modern,74
2008,Modern,83
2009,Modern,93
2010,Modern,84
2011,Modern,77
2012,Modern,79
2013,Modern,75
2014,Modern,74
2015,Modern,81
2016,Modern,69
2017,Modern,76
2018,Modern,73
2019,Modern,62
2020,Modern,65
2021,Modern,65
2022,Modern,58
2023,Modern,59
2024,Modern,64
2025,Modern,66
